Read,recipe
Open,fridge
Take,utensil
Cut,tomato
On,faucet
Put,utensil
Open,cabinet
Take,container
Cut,cucumber
Operate,stove
Close,fridge
Cut,carrot
Put,container
Cut,onion
Open,drawer
Take,plate
Take,bowl
Put,bowl
Put,container
Put,plate
Cut,pepper
Put,utensil
Take,paper
Move,bacon
Open,container
Wash,utensil
Spread,condiment
Off,faucet
Put,pan
Take,utensil
Put,lettuce
Move,patty
Put,pot
Close,cabinet
Put,bread
Take,bread
Close,container
Open,drawer
Wash,hand
Put,tomato
Take,container
Take,cup
Divide,lettuce
Put,cup
Take,pot
Clean,counter
Take,container
Take,tomato
Take,pan
Move,pan
Wash,board
Put,container
Take,sponge
Take,lettuce
Take,onion
Put,sponge
Divide,paper
Open,dishwasher
Take,container
Take,container
Put,container
Take,cucumber
Wash,pan
Take,pepper
Divide,onion
Put,board
Mix,mixture
Take,container
Put,cheese
Move,utensil
Put,pepper
Pour,oil
Take,container
Cut,lettuce
Put,container
Wash,bowl
Cut,olive
Close,drawer
Pour,condiment
Wash,pot
Mix,pasta
Open,container
Take,bag
Take,cheese
Pour,seasoning
Mix,egg
Pour,water
Put,paper
Put,cucumber
Compress,sandwich
Put,container
Put,onion
Crack,egg
Take,board
Open,container
Squeeze,sponge
Operate,microwave
Close,drawer
Wash,strainer
Move,bowl
Move,pot
Put,bag
Take,egg
Open,container
Close,container
Put,container
